step,avg_reward,std_reward,avg_ep_length,actor_loss,critic_loss,bc_loss,ql_loss,avg_q_batch,avg_q_policy,actor_grad_norm,critic_grad_norm
2000,-71.43192073873958,53.867075132325546,1000.0,0.12996862876787782,-1.000043349057436,-0.8700747213959694,5.20379948811233,69.30080707804859,69.39771149311214,1.265856706559658,144.38121285581587
4000,-41.48940660094978,100.57776468925806,1000.0,0.0819106722958386,-0.9990226943194866,-0.917112023293972,9.410829168796539,186.49177193450927,186.6898176689148,0.7700357453972101,504.54914474105834
6000,17.47834441641956,50.01507511241574,1000.0,0.07568351195193827,-0.9990730243325233,-0.9233895138204098,18.319794954299926,302.51846015167234,302.9843152694702,0.623572125762701,1091.816935596466
8000,-7.536754290008789,82.54208679126855,1000.0,0.07175869267433882,-0.9989779173135758,-0.9272192255854607,29.056505263805388,413.5767775115967,414.4685585632324,0.5236379580795765,1624.6820817260743
10000,20.81016064046188,99.07327847022158,1000.0,0.06862922307103872,-0.9989206944704055,-0.9302914720773697,42.49870767402649,518.8998455047607,520.2462635192871,0.46916567666828635,2353.5932280426027
12000,41.68395412107676,218.05301464191686,1000.0,0.066117214076221,-0.9988562360405921,-0.9327390233576298,58.851897114753726,618.9545394897461,620.7626394653321,0.42685000478476287,3243.2125464782716
14000,162.23426391590795,130.08048256465403,1000.0,0.06403269392251969,-0.9987249290049076,-0.9346922370195389,77.20648331069947,713.8411228942871,716.0106668090821,0.39310918271541595,3877.3550480041504
16000,93.14773169153635,98.30509415020991,1000.0,0.06222492866031826,-0.9985686327517033,-0.9363437053859234,96.10596559333801,803.2914799499512,805.7026806335449,0.37800208933651447,4625.233695800781
18000,-299.2874274802431,486.116763334686,1000.0,0.06040610037557781,-0.9984606840908528,-0.9380545846819878,122.19638921165466,887.0523556213379,889.5979941711425,0.3692177533209324,5641.318776489258
20000,-226.69212259976908,386.9158370987943,1000.0,0.05877242777682841,-0.9981775386035442,-0.9394051116108895,141.1933580379486,962.8547052612305,965.4598059082032,0.35756761487573385,6233.443023498535
22000,-685.9113619632176,270.75263186381216,1000.0,0.057280817607417704,-0.9980682715177536,-0.9407874547839165,160.12955261611938,1031.2019304199218,1033.816343963623,0.3506306260377169,7211.348642578125
24000,-462.65424118718704,161.94290411506145,1000.0,0.05584599483944476,-0.9978436085879803,-0.9419976150989533,176.6016071281433,1093.4895291748046,1096.1095006103515,0.34670924352854493,7915.985203063965
26000,-267.600821847622,59.82940066862431,1000.0,0.05476263638585806,-0.9976609289646149,-0.9428982940912247,203.8692756729126,1149.4541837768554,1152.0933924560547,0.3511154602169991,8337.618633117676
28000,-282.3177593309723,107.09565634179114,1000.0,0.053597737411037086,-0.9974370817244053,-0.9438393461406231,218.58683061981202,1200.356062927246,1202.984299621582,0.34525647400319576,8949.790970947266
30000,-221.31082935559988,128.80024939760426,1000.0,0.05259435229375958,-0.9973556927442551,-0.9447613417208195,235.29904286956787,1246.801533203125,1249.4132075805664,0.3413971769809723,9298.830389099121
